Configuration,Language,File Path,Successfully Extracted,Failure Reason
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/wasel-ui/WaselToast.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/SkipToContent.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/modules/rides/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/directSupabase/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/corridorCommercial.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/mobilityPipeline.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/platform/microservices/serviceRegistry.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,supabase/functions/make-server-0b1f4071/_shared/automation-runtime.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/EmptyState.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/rides/OfferRidePage.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/corridorTruth.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/notifications.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/utils/meta-env-check.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/services/journeyLogistics.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,supabase/functions/make-server-0b1f4071/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,supabase/downloaded/supabase/functions/send-email-resend/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/ImageWithFallback.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/service-worker.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/wallet/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/platform/mapping/provider.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/contracts/validation.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/FeatureErrorBoundary.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/performance.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/rides/landing/LandingSections.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/performance/adaptiveLoading.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/rides/landing/landingSectionShared.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/router/paths.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/features/notificationCenterModel.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/mobile/WaselSwipeableRideCard.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/pages/shared/pageUtils.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/automationScheduling.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/wasel-routes.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/domains/trust/profile.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/domains/mobility/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/utils/authHelpers.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/utils/authFlow.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/home/HomePageShared.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/mobile/WaselMobileBottomNav.tsx,true,""
